Statistical profiling result from isolate-000001ADD98FF370-18092-v8.log, (67794 ticks, 8 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    2.0%        LazyCompile: *walkAST C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-walk\index.js:4:17
      1  100.0%          LazyCompile: *walkAST C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-walk\index.js:4:17
      1  100.0%            LazyCompile: *walkAST C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-walk\index.js:4:17
      1    2.0%        LazyCompile: *visitBlock C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-code-gen\index.js:420:23
      1  100.0%          LazyCompile: *visitBlock C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-code-gen\index.js:420:23
      1  100.0%            LazyCompile: *visit C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-code-gen\index.js:292:18
      1    2.0%        LazyCompile: *stringify C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\js-stringify\index.js:4:19
      1  100.0%          LazyCompile: *compileAttrs C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-attrs\index.js:22:22
      1  100.0%            LazyCompile: *attrs C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-code-gen\index.js:971:18
      1    2.0%        LazyCompile: *set C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\express\lib\application.js:359:23
      1  100.0%          Function: ^enabled C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\express\lib\application.js:438:31
      1  100.0%            Function: ^render C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\express\lib\application.js:548:29
      1    2.0%        LazyCompile: *pluginsMap C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\@babel\parser\lib\index.js:16922:20
      1  100.0%          LazyCompile: *isConstant C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\constantinople\lib\index.js:332:20
      1  100.0%            LazyCompile: *attrs C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-code-gen\index.js:971:18
      1    2.0%        LazyCompile: *getOwn node:internal/bootstrap/loaders:187:16
      1  100.0%          Function: ^syncExports node:internal/bootstrap/loaders:304:14
      1  100.0%            Function: ^compileForPublicLoader node:internal/bootstrap/loaders:263:25
      1    2.0%        LazyCompile: *findGlobals C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\with\lib\globals.js:166:21
      1  100.0%          LazyCompile: *addWith C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\with\lib\index.js:40:17
      1  100.0%            Function: ^compile C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-code-gen\index.js:109:20
      1    2.0%        LazyCompile: *callLexerFunction C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1635:30
      1  100.0%          LazyCompile: *advance C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1656:20
      1  100.0%            LazyCompile: *callLexerFunction C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1635:30
      1    2.0%        LazyCompile: *blank C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:337:18
      1  100.0%          LazyCompile: *advance C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1656:20
      1  100.0%            LazyCompile: *getTokens C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1704:22
      1    2.0%        LazyCompile: *attrs C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-code-gen\index.js:971:18
      1  100.0%          LazyCompile: *visitAttributes C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-code-gen\index.js:935:28
      1  100.0%            LazyCompile: *visitTag C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-code-gen\index.js:613:21
      1    2.0%        LazyCompile: *addAttribute C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-attrs\index.js:54:24
      1  100.0%          LazyCompile: *compileAttrs C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-attrs\index.js:22:22
      1  100.0%            LazyCompile: *attrs C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-code-gen\index.js:971:18
      1    2.0%        Function: ^toConstant C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\constantinople\lib\index.js:9:24
      1  100.0%          LazyCompile: *isConstant C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-code-gen\index.js:35:20
      1  100.0%            LazyCompile: *visitCode C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-code-gen\index.js:769:22
      1    2.0%        Function: ^log node:internal/console/constructor:375:6
      1  100.0%          C:\Program Files\nodejs\node.exe
      1  100.0%            Function: ^<anonymous> C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\log4js\lib\appenders\console.js:5:10
      1    2.0%        Function: ^checkInvalidHeaderChar node:_http_common:231:32
      1  100.0%          Function: ^<anonymous> node:_http_outgoing:577:45
      1  100.0%            Function: ^setHeader node:_http_outgoing:601:57
      1    2.0%        Function: ^FastBuffer node:internal/buffer:958:14
      1  100.0%          Function: ^createUnsafeBuffer node:internal/buffer:1059:28
      1  100.0%            Function: ^createPool node:buffer:155:20
     48    4.7%      Function: ^compileFunction node:vm:316:25
     47   97.9%        Function: ^wrapSafe node:internal/modules/cjs/loader:1040:18
     47  100.0%          Function: ^Module._compile node:internal/modules/cjs/loader:1080:37
     45   95.7%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1135:37
      2    4.3%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1135:37
      1    2.1%        LazyCompile: ~wrapSafe node:internal/modules/cjs/loader:1040:18
      1  100.0%          LazyCompile: ~Module._compile node:internal/modules/cjs/loader:1080:37
      1  100.0%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1135:37
     47    4.6%      Function: ^parse C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-parser\index.js:10:15
     28   59.6%        Function: ^parse C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:110:20
     23   82.1%          Function: ^loadString C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:49:34
     18   78.3%            Function: ^compileBody C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:77:21
      4   17.4%            LazyCompile: *<anonymous> C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:13:28
      1    4.3%            Function: ^<anonymous> C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:13:28
      5   17.9%          LazyCompile: *compileBody C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:77:21
      5  100.0%            Function: ^exports.compile C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:264:27
     19   40.4%        LazyCompile: *loadString C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:49:34
      9   47.4%          Function: ^compileBody C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:77:21
      9  100.0%            Function: ^exports.compile C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:264:27
      5   26.3%          LazyCompile: *compileBody C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:77:21
      5  100.0%            Function: ^exports.compile C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:264:27
      4   21.1%          LazyCompile: *<anonymous> C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:13:28
      4  100.0%            LazyCompile: *walkAST C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-walk\index.js:4:17
      1    5.3%          Function: ^<anonymous> C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:13:28
      1  100.0%            LazyCompile: *walkAST C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-walk\index.js:4:17
     28    2.7%      Function: ^load C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:9:14
     27   96.4%        Function: ^loadString C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:49:34
     25   92.6%          Function: ^compileBody C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:77:21
     25  100.0%            Function: ^exports.compile C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:264:27
      1    3.7%          LazyCompile: *<anonymous> C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:13:28
      1  100.0%            LazyCompile: *walkAST C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-walk\index.js:4:17
      1    3.7%          Function: ^<anonymous> C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:13:28
      1  100.0%            LazyCompile: *walkAST C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-walk\index.js:4:17
      1    3.6%        LazyCompile: *compileBody C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:77:21
      1  100.0%          Function: ^exports.compile C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:264:27
      1  100.0%            Function: ^handleTemplateCache C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:236:29
     27    2.6%      LazyCompile: *Parser C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\acorn\dist\acorn.js:470:31
     24   88.9%        LazyCompile: *isExpression C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:75:25
     18   75.0%          LazyCompile: *attributeValue C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1312:27
     18  100.0%            LazyCompile: *attribute C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1216:22
      6   25.0%          LazyCompile: *callLexerFunction C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1635:30
      6  100.0%            Function: ^assertExpression C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:81:29
      2    7.4%        LazyCompile: *isExpression C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\is-expression\index.js:14:22
      2  100.0%          Function: ^isExpression C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:75:25
      1   50.0%            LazyCompile: *callLexerFunction C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1635:30
      1   50.0%            LazyCompile: *attributeValue C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1312:27
      1    3.7%        Function: ^isExpression C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\is-expression\index.js:14:22
      1  100.0%          Function: ^isExpression C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:75:25
      1  100.0%            LazyCompile: *attributeValue C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1312:27
     23    2.3%      Function: ^unwrapReturns C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\with\lib\index.js:127:23
     23  100.0%        Function: ^addWith C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\with\lib\index.js:40:17
     23  100.0%          Function: ^compile C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-code-gen\index.js:109:20
     19   82.6%            Function: ^generateCode C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-code-gen\index.js:31:22
      4   17.4%            LazyCompile: *compileBody C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:77:21
     20    2.0%      LazyCompile: *advance C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1656:20
     20  100.0%        LazyCompile: *getTokens C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1704:22
     11   55.0%          LazyCompile: *loadString C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:49:34
      7   63.6%            Function: ^compileBody C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:77:21
      2   18.2%            LazyCompile: *compileBody C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:77:21
      1    9.1%            LazyCompile: *<anonymous> C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:13:28
      1    9.1%            Function: ^<anonymous> C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:13:28
      9   45.0%          Function: ^lex C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:10:13
      9  100.0%            Function: ^lex C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:85:18
     12    1.2%      LazyCompile: *visitTag C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-code-gen\index.js:613:21
     12  100.0%        LazyCompile: *visitBlock C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-code-gen\index.js:420:23
     12  100.0%          LazyCompile: *visit C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-code-gen\index.js:292:18
     12  100.0%            LazyCompile: *visitTag C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-code-gen\index.js:613:21
     12    1.2%      Function: ^statSync node:fs:1580:18
     12  100.0%        Function: ^tryStat C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\express\lib\view.js:174:17
     12  100.0%          Function: ^resolve C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\express\lib\view.js:146:42
     12  100.0%            Function: ^lookup C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\express\lib\view.js:104:40
     41    2.6%    LazyCompile: *callLexerFunction C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1635:30
     38   92.7%      LazyCompile: *advance C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1656:20
     33   86.8%        LazyCompile: *getTokens C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1704:22
     23   69.7%          Function: ^lex C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:10:13
     23  100.0%            Function: ^lex C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:85:18
     10   30.3%          LazyCompile: *loadString C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:49:34
      6   60.0%            Function: ^compileBody C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:77:21
      3   30.0%            LazyCompile: *compileBody C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:77:21
      1   10.0%            LazyCompile: *<anonymous> C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:13:28
      5   13.2%        LazyCompile: *callLexerFunction C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1635:30
      5  100.0%          Function: ^getTokens C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1704:22
      4   80.0%            Function: ^lex C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:10:13
      1   20.0%            LazyCompile: *loadString C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:49:34
      1    2.4%      LazyCompile: *include C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:818:20
      1  100.0%        LazyCompile: *callLexerFunction C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1635:30
      1  100.0%          LazyCompile: *advance C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1656:20
      1  100.0%            LazyCompile: *getTokens C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1704:22
      1    2.4%      Function: ^getTokens C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1704:22
      1  100.0%        Function: ^lex C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:10:13
      1  100.0%          Function: ^lex C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:85:18
      1  100.0%            Function: ^loadString C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:49:34
      1    2.4%      Function: ^advance C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1656:20
      1  100.0%        LazyCompile: *callLexerFunction C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1635:30
      1  100.0%          Function: ^getTokens C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1704:22
      1  100.0%            Function: ^lex C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:10:13
     34    2.2%    LazyCompile: *recurse C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\babel-walk\lib\index.js:73:26
     33   97.1%      LazyCompile: *recurse C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\babel-walk\lib\index.js:73:26
     32   97.0%        LazyCompile: *recurse C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\babel-walk\lib\index.js:73:26
     24   75.0%          LazyCompile: *recurse C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\babel-walk\lib\index.js:73:26
     16   66.7%            LazyCompile: *recurse C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\babel-walk\lib\index.js:73:26
      8   33.3%            LazyCompile: *findGlobals C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\with\lib\globals.js:166:21
      8   25.0%          LazyCompile: *findGlobals C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\with\lib\globals.js:166:21
      7   87.5%            Function: ^addWith C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\with\lib\index.js:40:17
      1   12.5%            LazyCompile: *addWith C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\with\lib\index.js:40:17
      1    3.0%        LazyCompile: *findGlobals C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\with\lib\globals.js:166:21
      1  100.0%          LazyCompile: *addWith C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\with\lib\index.js:40:17
      1  100.0%            Function: ^compile C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-code-gen\index.js:109:20
      1    2.9%      LazyCompile: *findGlobals C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\with\lib\globals.js:166:21
      1  100.0%        LazyCompile: *addWith C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\with\lib\index.js:40:17
      1  100.0%          Function: ^compile C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-code-gen\index.js:109:20
      1  100.0%            LazyCompile: *compileBody C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:77:21
     24    1.5%    LazyCompile: *parseChar C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\character-parser\index.js:76:19
      8   33.3%      LazyCompile: *parseUntil C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\character-parser\index.js:47:20
      8  100.0%        LazyCompile: *attrs C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1440:18
      8  100.0%          LazyCompile: *callLexerFunction C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1635:30
      8  100.0%            LazyCompile: *advance C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1656:20
      8   33.3%      LazyCompile: *parse C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\character-parser\index.js:28:15
      8  100.0%        LazyCompile: *attrs C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1440:18
      8  100.0%          LazyCompile: *callLexerFunction C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1635:30
      8  100.0%            LazyCompile: *advance C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1656:20
      8   33.3%      LazyCompile: *attributeValue C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1312:27
      8  100.0%        LazyCompile: *attribute C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1216:22
      8  100.0%          LazyCompile: *attrs C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1440:18
      8  100.0%            LazyCompile: *callLexerFunction C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1635:30
     20    1.3%    Function: ^unwrapReturns C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\with\lib\index.js:127:23
     20  100.0%      Function: ^addWith C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\with\lib\index.js:40:17
     20  100.0%        Function: ^compile C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-code-gen\index.js:109:20
     15   75.0%          Function: ^generateCode C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-code-gen\index.js:31:22
     15  100.0%            Function: ^compileBody C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:77:21
      5   25.0%          LazyCompile: *compileBody C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:77:21
      5  100.0%            Function: ^exports.compile C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:264:27

