Statistical profiling result from isolate-000001ADD98FF370-18092-v8.log, (67794 ticks, 8 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.7%  LazyCompile: *findGlobals C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\with\lib\globals.js:166:21
      2    0.0%    0.7%  LazyCompile: *extends C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:683:20
      2    0.0%    0.7%  LazyCompile: *each C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1042:17
      2    0.0%    0.7%  LazyCompile: *className C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:465:22
      2    0.0%    0.7%  LazyCompile: *checkReservedWord C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\@babel\parser\lib\index.js:14307:20
      2    0.0%    0.7%  LazyCompile: *Identifier C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\with\lib\globals.js:137:15
      1    0.0%    0.4%  RegExp: ^while\b
      1    0.0%    0.4%  RegExp: ^mixin +([-\w]+)(?: *\((.*)\))? *
      1    0.0%    0.4%  RegExp: ^doctype *([^\n]*)
      1    0.0%    0.4%  RegExp: ^\/assets\/?(?=\/|$)
      1    0.0%    0.4%  RegExp: ^\+(\s*)(([-\w]+)|(#\{))
      1    0.0%    0.4%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+\/[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      1    0.0%    0.4%  RegExp: ^- *(?:each|for) +([a-zA-Z_$][\w$]*)(?: *, *([a-zA-Z_$][\w$]*))? +of +([^\n]+)
      1    0.0%    0.4%  RegExp: ^-
      1    0.0%    0.4%  RegExp: ^(Named)?Block$
      1    0.0%    0.4%  RegExp: ^(?:each|for)\b
      1    0.0%    0.4%  RegExp: ^(?:each|for) (.*?) of *([^\n]+)
      1    0.0%    0.4%  RegExp: ^(?:\| ?| )([^\n]+)
      1    0.0%    0.4%  RegExp: SSS
      1    0.0%    0.4%  RegExp: (?:\s|\/\/.*|\/\*[^]*?\*\/)*
